"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN7222_c0_g1",254.094517922866,-6.25562317217485,0.872915476611138,-7.16635612471971,7.7020261688337e-13,3.83291332292009e-08
"TRINITY_DN136_c0_g1",21797.5033166909,10.9759082878438,1.65827574870589,6.61886799973369,3.61959874216484e-11,9.00646657019165e-07
"TRINITY_DN291_c3_g1",443.255983727647,-10.8693798785971,1.72403075798939,-6.30463222783405,2.88879011199799e-10,4.792021330786e-06
"TRINITY_DN307_c0_g1",3502.52023365913,10.9359080319563,1.77063559187235,6.17626127146363,6.56373342617678e-10,8.16610484884219e-06
"TRINITY_DN94806_c0_g1",181.285282788427,-7.43523062935666,1.21828368398095,-6.10303718839997,1.04071615222488e-09,1.03582478630942e-05
"TRINITY_DN4403_c0_g1",3177.78289334502,14.4844991623073,2.47394850075046,5.85481029937103,4.77554794601708e-09,3.96091905889234e-05
"TRINITY_DN61020_c0_g1",249.038200832584,6.75370537007803,1.17892157218388,5.72871472490508,1.01194404464027e-08,7.1941993402176e-05
"TRINITY_DN729_c5_g1",888.53255364964,35.1048735717978,6.24939858412277,5.61732030678685,1.93941698035304e-08,0.000120643857534087
"TRINITY_DN4954_c0_g1",178.656798647627,9.93945406072023,1.79005657535447,5.55259213455419,2.81464278169589e-08,0.00015563410892344
"TRINITY_DN42613_c0_g1",93.4712115049057,6.81879671761346,1.24952943874637,5.45709169081652,4.83996456851318e-08,0.000220375831777621
"TRINITY_DN775_c0_g1",1070.88012679087,12.3391882211602,2.26160203561445,5.45595026306552,4.87116276409894e-08,0.000220375831777621
"TRINITY_DN2267_c0_g1",217.24174499359,33.6282927612739,6.24992984794969,5.38058723528006,7.4243250492847e-08,0.000307892946731378
"TRINITY_DN104872_c0_g1",100.015694559881,-11.314514537337,2.14078233426119,-5.28522417074306,1.25550915939792e-07,0.000480618563980289
"TRINITY_DN46224_c0_g1",18.2586283777019,23.7091657408194,4.55251318477587,5.20792906654407,1.90959892720921e-07,0.000629191532148628
"TRINITY_DN58882_c0_g1",103.658439270406,11.9844828409473,2.30594150166016,5.19721893739242,2.02292062983584e-07,0.000629191532148628
"TRINITY_DN927_c0_g1",1057.03639418972,32.4876334050493,6.24941406595094,5.19850870212836,2.00893721764285e-07,0.000629191532148628
"TRINITY_DN7920_c0_g1",126.86289621557,9.34932313503491,1.80768651674425,5.17198255805637,2.31623209593579e-07,0.000678042883848498
"TRINITY_DN1033_c2_g1",815.07896058727,5.97313739302956,1.16029125974848,5.14796379171584,2.63329305242051e-07,0.000728032381965038
"TRINITY_DN1483_c0_g1",1232.57310980937,-4.10891536694656,0.803602840566658,-5.11311702687508,3.16885842184502e-07,0.000829990733490092
"TRINITY_DN73006_c0_g1",333.271632718795,11.3428781625862,2.24706418707482,5.04786566749216,4.46773094479358e-07,0.00111168315233826
"TRINITY_DN14630_c0_g1",75.3428882131042,31.336866658643,6.24998866111447,5.01390776172307,5.3335562020485e-07,0.00126392583045211
"TRINITY_DN13757_c0_g1",14.3285326302513,22.9155528883415,4.60448151343034,4.97679333091065,6.46462800679286e-07,0.0014623282398093
"TRINITY_DN13831_c0_g1",78.6121935514891,30.8485551316518,6.24994573562018,4.93581167526581,7.98181002286838e-07,0.00153335176500011
"TRINITY_DN3999_c0_g1",725.15155947716,30.8775874735678,6.24941553839824,4.9408760361424,7.77723449884226e-07,0.00153335176500011
"TRINITY_DN44695_c0_g1",88.7692655372286,-5.44126195774093,1.10256427164119,-4.93509729790312,8.01108125992218e-07,0.00153335176500011
"TRINITY_DN58375_c0_g1",127.318243827479,-11.3892622572372,2.30621465821163,-4.93850917852941,7.87220738163687e-07,0.00153335176500011
"TRINITY_DN1699_c0_g1",625.469006815925,12.8990224225767,2.62637553436177,4.9113396975468,9.04562216154276e-07,0.00166724217358954
"TRINITY_DN3101_c0_g1",109.963202005146,-6.57514625666609,1.34270401811279,-4.89694390421775,9.73386102406706e-07,0.00167036411676792
"TRINITY_DN75189_c0_g1",84.9438769957769,12.4710502981191,2.54484680675223,4.90051120760185,9.55876043304162e-07,0.00167036411676792
"TRINITY_DN634_c0_g1",312.223710765559,-4.08672297675107,0.840385851424204,-4.86291263688613,1.15670908811533e-06,0.00191878759233531
"TRINITY_DN201_c0_g1",299.244481384378,4.18601946173529,0.862174821163307,4.85518639489752,1.20273557023296e-06,0.00193077856944011
"TRINITY_DN2529_c0_g1",94.53385726473,-7.3717548860007,1.53877987041374,-4.79064941499309,1.66242374911393e-06,0.00258532868358296
"TRINITY_DN27294_c0_g1",83.6373214790252,14.4757158564628,3.03948639259632,4.762553269435,1.91158713172388e-06,0.00277534326663882
"TRINITY_DN3950_c0_g1",181.280687173815,4.81628998325259,1.01217859290512,4.75834009631545,1.95191428378095e-06,0.00277534326663882
"TRINITY_DN9333_c0_g1",2394.60675336369,6.01146116147532,1.261279671261,4.76616035162542,1.87769841062941e-06,0.00277534326663882
"TRINITY_DN7893_c0_g1",71.6971515033735,6.4008408058155,1.35017003059322,4.74076646702282,2.12911230171865e-06,0.00294320204708413
"TRINITY_DN16948_c0_g1",138.399764783144,-9.28891146081291,1.97158955016536,-4.71138197097558,2.46042580919053e-06,0.0032642940962226
"TRINITY_DN4254_c0_g1",222.534278005992,6.41896289898873,1.36320301894265,4.70873583009484,2.49257863270288e-06,0.0032642940962226
"TRINITY_DN17782_c0_g1",67.9429706880373,11.1539701724664,2.39791308593768,4.65153230026463,3.29477654908378e-06,0.00420421935808088
"TRINITY_DN2479_c0_g1",81.1286426412531,-6.05566562507258,1.31200350682582,-4.61558646266371,3.91986800146247e-06,0.0048768057773195
"TRINITY_DN3505_c1_g1",420.641639828162,10.7472619660113,2.33657519964381,4.59957889121205,4.23345848613836e-06,0.00513848930640672
"TRINITY_DN19441_c0_g1",257.915492394535,5.42813828917177,1.18388902783992,4.58500599424911,4.53973411722621e-06,0.00537904448437529
"TRINITY_DN548_c0_g1",258.845428533964,7.15291839617649,1.56426873293313,4.57269153668001,4.81498729833961e-06,0.00557250797446211
"TRINITY_DN12633_c0_g1",273.797940323256,8.19270580280383,1.80251733355693,4.54514675131421,5.48969926715197e-06,0.00617610806107264
"TRINITY_DN56530_c0_g1",85.4425765697688,11.5001278294687,2.53221447592531,4.54152992916066,5.58474555909311e-06,0.00617610806107264
"TRINITY_DN76013_c0_g1",135.834906374007,6.35012895388429,1.40760291813514,4.51130703984135,6.44293785127283e-06,0.00697027830801287
"TRINITY_DN1048_c0_g1",584.384239731676,10.5018452066254,2.33439773527544,4.49873860307966,6.8357845835672e-06,0.0072379323361962
"TRINITY_DN9627_c0_g1",62.2173123214187,10.970007949646,2.45174674374783,4.47436423750557,7.66390025559164e-06,0.00794570825457329
"TRINITY_DN5217_c0_g1",159.511358960585,6.2689691752496,1.40402953961654,4.46498381861804,8.00748034617333e-06,0.00813249509035338
"TRINITY_DN1010_c2_g1",53.0494797815157,10.6504292465597,2.39230336679003,4.45195596612411,8.50916180674951e-06,0.00830310661397822
"TRINITY_DN1127_c0_g1",1236.55609042857,6.95583050851605,1.56129917472528,4.45515543793198,8.38324344439202e-06,0.00830310661397822
"TRINITY_DN11796_c0_g1",167.673019596837,9.92569589294589,2.24250935833413,4.42615584013406,9.5927233803032e-06,0.00900720526454318
"TRINITY_DN8761_c0_g1",118.822145529003,-9.18666240236679,2.07531914605103,-4.42662634315661,9.57183281924665e-06,0.00900720526454318
"TRINITY_DN18767_c0_g1",81.4937893909336,11.2313982574675,2.54550015529369,4.41225597025024,1.0229906718233e-05,0.00918489251504875
"TRINITY_DN303_c0_g1",819.51445462296,25.0290847101812,5.67682764183495,4.40899148068744,1.03853109998846e-05,0.00918489251504875
"TRINITY_DN4617_c0_g1",229.498399623184,-6.85231619634436,1.55515497432365,-4.40619507989837,1.05202225129665e-05,0.00918489251504875
"TRINITY_DN696_c0_g1",411.919548721172,-7.77067821404899,1.76237917721857,-4.40919769961926,1.03754277164613e-05,0.00918489251504875
"TRINITY_DN94682_c0_g1",50.1743723358982,-7.74718279892567,1.76342376498141,-4.39326210339881,1.11662368304968e-05,0.00958082372189095
"TRINITY_DN73773_c0_g1",57.674370417979,-8.3965673871495,1.91748605909114,-4.37894572810054,1.19254823308572e-05,0.0100588411558493
"TRINITY_DN806_c0_g1",212.617136743748,5.50752583778866,1.25909595699658,4.37419070975827,1.21883792924225e-05,0.0101092449247901
"TRINITY_DN3_c4_g1",94.6186425276614,-5.38746678394545,1.23525792166785,-4.36141043052069,1.29226697136602e-05,0.0105425681688574
"TRINITY_DN59606_c1_g1",45.3285990104146,10.6109367111326,2.44887151112274,4.33299038472939,1.47097536708894e-05,0.0118069498618034
"TRINITY_DN26776_c0_g1",92.0336453709947,7.3586601383956,1.7040317164829,4.31838214466088,1.57177115003564e-05,0.0124157446478609
"TRINITY_DN15053_c0_g1",67.3070173749743,11.8936956131084,2.76440029489225,4.302450565891,1.68919366478852e-05,0.0129327265735693
"TRINITY_DN24514_c0_g1",87.8286162316191,8.66535139284353,2.01275664691225,4.30521563853085,1.66823154656653e-05,0.0129327265735693
"TRINITY_DN5029_c1_g2",38.928317217161,10.7072295905212,2.50130497595342,4.28065737423321,1.86342059250217e-05,0.0140504736039198
"TRINITY_DN14071_c0_g1",110.0183246726,7.61041900024066,1.7890064443933,4.25399194289741,2.09992860134078e-05,0.0151453546153223
"TRINITY_DN1938_c0_g1",164.163910498126,9.80152726930142,2.30267449560373,4.25658393664172,2.07574128104461e-05,0.0151453546153223
"TRINITY_DN26495_c0_g1",43.0838027830317,-6.27373895917737,1.47283435432519,-4.25963648984262,2.04759633434598e-05,0.0151453546153223
"TRINITY_DN127_c0_g1",8128.60119227671,6.77197847531259,1.60095156750769,4.22997085780363,2.33721587667289e-05,0.0165582304190546
"TRINITY_DN78624_c0_g1",298.701781137555,-3.7495015419238,0.886918186545622,-4.22756190909491,2.36237186728198e-05,0.0165582304190546
"TRINITY_DN59144_c0_g1",96.1566331329872,-5.8112880129267,1.37856007155834,-4.21547681005847,2.49251005011911e-05,0.0172277448116913
"TRINITY_DN1669_c0_g1",149.596970403928,11.2542478966886,2.68987453324962,4.18393042410511,2.86511832379314e-05,0.0195318648470638
"TRINITY_DN59462_c0_g1",165.087107327747,6.28453765895212,1.51133898926832,4.15825814299587,3.20683516920763e-05,0.0215659665129213
"TRINITY_DN4677_c0_g1",38.7249626718588,10.8687447352835,2.6192534025702,4.1495583148306,3.33117418842049e-05,0.0221034511315661
"TRINITY_DN45272_c0_g1",325.010313007323,3.98058221839536,0.960492895702007,4.14431198419851,3.40835462598071e-05,0.0223179957844645
"TRINITY_DN24744_c0_g1",140.299384432425,-7.5001111812317,1.81646595563995,-4.1289577478425,3.64411355226683e-05,0.0235518585621505
"TRINITY_DN18258_c0_g1",34.2398340256658,-8.63898501532631,2.09737251619234,-4.11895595495352,3.8059287841929e-05,0.0242823135827384
"TRINITY_DN9030_c0_g1",153.780399058087,10.1198576391454,2.47129345697961,4.09496395928382,4.22234065530633e-05,0.0265980737609265
"TRINITY_DN11179_c0_g1",104.534316578072,8.4570787719102,2.07479255543293,4.07610811488839,4.57957325713534e-05,0.0284878078926675
"TRINITY_DN88620_c0_g1",34.51172928373,6.99523482464994,1.73023579755924,4.04293728896245,5.27857422250308e-05,0.032430647676897
"TRINITY_DN57045_c0_g1",34.5166742837238,10.0374426678288,2.48676413619823,4.03634688216716,5.42899293483128e-05,0.0329480284636437
"TRINITY_DN11833_c0_g1",97.0013498450453,9.29272163537137,2.30985794391897,4.02307062208556,5.74442621718627e-05,0.0344423338190693
"TRINITY_DN16192_c0_g3",46.4288159243584,7.71860270664272,1.92175191211791,4.01644075802494,5.90837076878664e-05,0.0345917730951373
"TRINITY_DN89443_c0_g1",72.1534307793553,7.63314989581348,1.89991509644976,4.01762684557694,5.87871920586913e-05,0.0345917730951373
"TRINITY_DN15701_c0_g1",1079.03648592615,5.25365177299789,1.31066597449622,4.00838342890319,6.11358032438541e-05,0.0353770145166325
"TRINITY_DN1797_c0_g1",92.6731826459573,9.14539115857312,2.28957339934926,3.99436469744644,6.48679516197238e-05,0.0369397298830073
"TRINITY_DN48598_c0_g1",26.0855995625118,25.0579934455071,6.27592766834256,3.99271546291176,6.53209329790946e-05,0.0369397298830073
"TRINITY_DN2473_c0_g1",167.08024920952,9.49682480072555,2.38367990676055,3.98410238463262,6.77356664375942e-05,0.0377480751683336
"TRINITY_DN77080_c0_g1",55.9152315041785,-7.87776758541218,1.97822279978586,-3.98224486456476,6.82673920456148e-05,0.0377480751683336
"TRINITY_DN97345_c0_g1",33.001369187848,-8.44247552003453,2.12197713316592,-3.97858930149668,6.93253729128292e-05,0.0379118371759005
"TRINITY_DN14963_c0_g1",38.6526189453944,7.08202455061403,1.78345950517345,3.97094777317374,7.15872727470287e-05,0.0383068884758697
"TRINITY_DN8598_c0_g1",99.8003318005886,5.2670782057756,1.32559030078456,3.973383180805,7.08589183660963e-05,0.0383068884758697
"TRINITY_DN13252_c0_g1",119.98248005199,7.02153466951398,1.77025192975176,3.96640418886515,7.29650868897977e-05,0.0386288037135189
"TRINITY_DN13906_c1_g1",156.638846520428,6.59317688470596,1.66686168051428,3.95544331109211,7.63928618331136e-05,0.0393143380374957
"TRINITY_DN2451_c0_g1",1204.73016987724,-3.89610927449651,0.985183935653134,-3.95470239972352,7.66299766831525e-05,0.0393143380374957
"TRINITY_DN7125_c1_g1",67.6783876447354,19.6162460794968,4.95654847220014,3.95764233710589,7.56931831959724e-05,0.0393143380374957
"TRINITY_DN13307_c0_g1",46.5630153277586,6.88498845655518,1.74996537529219,3.93435696143736,8.34197295321911e-05,0.0411028003977177
"TRINITY_DN138_c0_g1",47.4027247060105,10.1969755935726,2.59116497862093,3.93528612716878,8.30976362257483e-05,0.0411028003977177
"TRINITY_DN444_c1_g1",1100.61614605755,-3.34696163393618,0.850287291076315,-3.93627150383432,8.27573418547992e-05,0.0411028003977177
"TRINITY_DN93524_c0_g1",30.7217116943534,10.0232406104628,2.54604509628011,3.93678832519785,8.25793874270843e-05,0.0411028003977177
"TRINITY_DN19923_c0_g1",84.779097216073,9.0258612035971,2.30627493224504,3.91361024542329,9.09263580348156e-05,0.044134308085127
"TRINITY_DN4372_c0_g1",200.35595688448,9.19924379073498,2.35124515416041,3.91249877727866,9.13460008594008e-05,0.044134308085127
"TRINITY_DN3164_c0_g1",1058.91006564696,4.52832873907212,1.16116061966326,3.89982975859563,9.6260349266812e-05,0.046061502704451
"TRINITY_DN2046_c0_g1",1357.08238745108,15.8648538520918,4.074210723965,3.89396988201243,9.86168992087375e-05,0.0467397141821221
"TRINITY_DN4572_c0_g1",161.801056126795,9.20531252824385,2.36851112434239,3.88653970574011,0.000101683301066918,0.0477383912980677
"TRINITY_DN108489_c0_g1",37.3365656650515,10.3346177014888,2.66683961240031,3.87523031135235,0.000106523899606405,0.0495435688216146
"TRINITY_DN2594_c0_g1",1506.00157153992,-5.51768192711986,1.42472317140931,-3.87280984674508,0.000107587767334636,0.049575048531557
